isi
Agung|||Semarang|||03 Juni 1992|||Jawa Tengah
Agus|||Probolinggo|||19 Juni 1989|||Jawa Timur
Andi|||Pangkalpinang|||11 April 1994|||Bangka Belitung
Andika|||Surabaya|||24 Mei 1999|||Jawa Timur
Anggun|||Kota Administrasi Jakarta Pusat|||13 Juni 1981|||Jakarta
Ardi|||Depok|||16 Agustus 1984|||Jawa Barat
Asep|||Malang|||16 Agustus 1996|||Jawa Timur
Ayu|||Batu|||22 Februari 2002|||Jawa Timur
Bagus|||Banda Aceh|||10 Juli 1995|||Aceh
Bambang|||Kota Administrasi Jakarta Utara|||01 Oktober 1991|||Jakarta
Bayu|||Sabang|||05 Februari 1987|||Aceh
Bella|||Pasuruan|||17 April 1992|||Jawa Timur
Citra|||Banjarmasin|||12 Desember 1986|||Kalimantan Selatan
Deni|||Denpasar|||14 Februari 1996|||Bali
Diki|||Semarang|||21 Juli 1987|||Jawa Tengah
Erlangga|||Tangerang Selatan|||31 Januari 1993|||Banten
Fajri|||Bogor|||06 Agustus 2003|||Jawa Barat
Farah|||Tangerang Selatan|||06 Maret 1999|||Banten
Feri|||Banjarbaru|||17 September 1991|||Kalimantan Selatan
Fitri|||Kota Administrasi Jakarta Utara|||21 Januari 1982|||Jakarta
Galang|||Banjarmasin|||01 Juni 1993|||Kalimantan Selatan
Gunawan (0834755)|||Tegal|||18 November 1993|||Jawa Tengah
Hadi|||Depok|||07 Juli 1983|||Jawa Barat
Hasan|||Kota Administrasi Jakarta Selatan|||25 Juni 1992|||Jakarta
Hengky|||Tangerang|||21 Desember 1990|||Banten
Indah|||Madiun|||28 Juli 1991|||Jawa Timur
Iqbal|||Pekalongan|||11 Oktober 1997|||Jawa Tengah
Jaya|||Sungai Penuh|||23 April 2005|||Jambi
Kardi|||Cimahi|||25 Juni 1992|||Jawa Barat
Komang|||Semarang|||31 Agustus 1998|||Jawa Tengah
Krisda|||Bandung|||23 Juni 1985|||Jawa Barat
Kurnia|||Tangerang|||24 Oktober 2004|||Banten
Lestari|||Bandung|||05 November 2002|||Jawa Barat
Mahmud|||Pasuruan|||26 April 1981|||Jawa Timur
Marta|||Kota Administrasi Jakarta Pusat|||15 November 1984|||Jakarta
Mita, Mira|||Tangerang Selatan|||10 Juni 1993|||Banten
Murni|||Denpasar|||24 Januari 1999|||Bali
Nita|||Sungai Penuh|||25 Desember 1992|||Jambi
Nur (089994)|||Banjarbaru|||17 Maret 1981|||Kalimantan Selatan
Putra|||Tangerang|||07 Agustus 1996|||Banten
Putri|||Kota Administrasi Jakarta Timur|||29 Desember 2002|||Jakarta
Rafi|||Subulussalam|||25 Februari 1991|||Aceh
Rahma|||Sabang|||22 September 1990|||Aceh
Rahmad|||Probolinggo|||22 September 2003|||Jawa Timur
Randi|||Bekasi|||20 April 1985|||Jawa Barat
Rasyid|||Bandung|||25 Agustus 1985|||Jawa Barat
Rian|||Bekasi|||16 Januari 1987|||Jawa Barat
Rita|||Singkawang|||01 Desember 2004|||Kalimantan Barat
Rizki|||Cimahi|||16 Februari 1991|||Jawa Barat
Sandi|||Sukabumi|||01 Februari 1985|||Jawa Barat
Sarah|||Bengkulu|||15 November 1980|||Bengkulu
Silvia|||Malang|||06 Januari 1996|||Jawa Timur
Siti|||Cimahi|||30 Januari 1985|||Jawa Barat
Sri|||Pangkalpinang|||22 Juli 1990|||Bangka Belitung
Tasya|||Singkawang|||15 Oktober 1987|||Kalimantan Barat
Tia|||Kota Administrasi Jakarta Utara|||26 Desember 1985|||Jakarta
Tiara|||Madiun|||11 April 1992|||Jawa Timur
Tika|||Cirebon|||07 April 1981|||Jawa Barat
Tri|||Batu|||26 Januari 1994|||Jawa Timur
Ujang|||Depok|||04 Juli 1999|||Jawa Barat
Wahyu|||Mojokerto|||17 Maret 2000|||Jawa Timur
Wardi|||Jambi|||23 Mei 1985|||Jambi
Wulan|||Langsa|||09 Maret 1990|||Aceh
Yansen|||Cilegon|||14 Januari 1981|||Banten
Yati|||Langsa|||20 September 1995|||Aceh
Yudhi|||Yogyakarta|||29 Maret 1992|||Daerah Istimewa Yogyakarta
Yuli|||Jambi|||11 Januari 1984|||Jambi
Zahra|||Langsa|||25 Juli 2002|||Aceh
Zaki|||Cirebon|||31 Maret 1999|||Jawa Barat
